Experiment Parameters:

Version:		0
World size:		30x30
Init population:	100
Number of iterations:			10000001
Grass cycle:		2000
Mutatiom Rate:		100
Grass intencity:	100
Maximal energy:		10000
Divide:			2000
Move:			100
Eat:			25
Rest:			5
Turn:			25
Fight:			2000
Share:			2000
Grass cost:			10000
Module mutation rate:		0
Marker length:		10
Marker mutation rate:		5000
Marker max value:		10000
Max weight:		1000
Period	Agents	Rest	Eat	Move	TurnLeft	TurnRight	Divide	Fight	Share	inLevel	inGrNear	inGrLeft	inGrForw	inGrRight	inAgNear	inAgLeft	inAgForw	inAgRight	inCellKin	inEnergy	inNegEnergy	inAgKin	inAgEnrg	inNegAgEnrg	actRest	actEat	actMove	actTurnLeft	actTurnRight	actDivide	actFight	actShare	Avg.Ener	AvgDivedPeriod  
0	110	0	60	30	0	0	10	0	0	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	8881.0	NaN
10000	9	6	0	0	1	0	0	0	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9101.0	7394.0
20000	8	5	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8613.0	9316.0
30000	8	5	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9522.0	9316.0
40000	6	5	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9682.0	23081.0
50000	7	5	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9336.0	19310.5
60000	7	6	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9223.0	12875.333
70000	8	7	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9457.0	12875.333
80000	6	6	0	0	0	0	0	0	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9149.0	4660.5
90000	6	5	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9399.0	12968.0
100000	7	6	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9422.0	12968.0
110000	7	6	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9806.0	12968.0
120000	7	6	0	0	0	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9556.0	42971.332
130000	8	7	0	0	0	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9273.0	45412.5
140000	8	7	0	0	0	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9297.0	34393.25
150000	8	8	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9058.0	44381.8
160000	9	8	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9335.0	44753.8
170000	9	8	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9305.0	44753.8
180000	9	8	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9314.0	51361.0
190000	10	10	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	8695.0	42934.168
200000	53	9	4	14	11	12	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	3724.0	46.82927
210000	78	1	9	32	9	25	0	0	0	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	3089.0	28.731707
220000	59	0	10	36	1	10	0	0	0	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	2266.0	13.666667
230000	61	0	10	40	0	9	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	4865.0	53.357143
240000	60	0	4	43	0	12	0	0	0	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	4203.0	80.111115
250000	66	0	4	36	0	24	0	1	0	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	3087.0	77.44118
260000	77	0	10	28	0	35	0	1	0	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	2594.0	129.02563
270000	73	1	6	30	0	34	0	1	0	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	3487.0	42.794117
280000	65	7	5	28	0	22	0	1	0	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	3684.0	50.724136
290000	70	0	7	34	0	27	0	0	0	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	2977.0	57.904762
300000	68	0	10	35	0	20	0	0	0	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	2877.0	25.555555
310000	54	0	5	36	0	10	0	0	0	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	4146.0	26.866667
320000	60	0	4	37	1	14	0	0	0	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	2751.0	20.8
330000	61	0	4	32	14	7	0	0	0	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	3538.0	51.682926
340000	68	0	3	36	13	14	0	0	0	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	4409.0	74.10256
350000	68	0	3	31	9	21	0	1	0	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	3654.0	31.725
360000	68	0	4	28	6	26	0	0	0	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	4033.0	63.44643
370000	192	131	10	18	3	26	0	1	0	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	3283.0	228.16742
380000	499	472	9	7	2	6	0	1	0	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	2499.0	256.69452
390000	565	542	7	5	3	3	0	1	0	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	569	2676.0	338.07535
400000	584	561	7	5	2	4	0	1	0	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	582	2786.0	320.90936
410000	599	575	8	4	2	6	0	1	0	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	597	2557.0	340.49454
420000	612	591	6	4	3	4	0	1	0	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	645	2710.0	355.1114
430000	619	602	4	4	3	3	0	1	0	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	2600.0	354.42648
440000	562	540	6	4	2	5	0	1	0	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	571	2628.0	330.77966
450000	585	563	5	3	2	7	0	1	0	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	2563.0	344.80475
460000	587	565	6	3	2	7	0	1	0	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	561	2407.0	326.07785
470000	569	544	7	3	2	8	0	1	0	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	604	2621.0	357.8384
480000	590	570	4	3	2	6	0	1	0	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	553	2419.0	372.8277
490000	568	545	8	3	3	4	0	1	0	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	583	2639.0	354.47433
500000	586	564	7	4	3	3	0	1	0	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	570	2435.0	344.7565
510000	581	562	4	3	2	5	0	1	0	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	2980.0	333.21185
520000	582	564	5	3	2	4	0	1	0	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	599	3157.0	396.84796
530000	609	589	6	4	3	4	0	1	0	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	2896.0	394.6481
540000	592	574	5	3	3	2	0	1	0	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	607	2905.0	353.20462
550000	591	574	6	3	1	3	0	1	0	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	549	2775.0	337.22714
560000	575	555	4	4	1	6	0	1	0	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	573	2800.0	346.72638
570000	584	564	4	4	3	5	0	1	0	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	610	2473.0	306.72153
580000	591	570	6	3	2	6	0	1	0	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	591	2654.0	377.86942
590000	593	570	8	3	2	4	0	1	1	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	567	2383.0	329.61224
600000	559	536	5	3	2	8	0	1	0	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	564	2358.0	314.5563
610000	584	559	5	3	1	10	0	1	0	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	603	2446.0	372.31805
620000	592	568	3	3	2	11	0	1	0	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	2824.0	364.42297
630000	594	575	3	3	1	7	0	1	0	550	550	550	550	550	550	550	550	550	550	550	550	550	
